GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
teste-api-emprestimo,com.paloma.testeapiemprestimo.resource,LoanResource,54,3,0,0,11,1,5,1,5,1
teste-api-emprestimo,com.paloma.testeapiemprestimo.service.tools,InstallmentsGenerator,63,0,2,0,11,0,4,0,3,0
teste-api-emprestimo,com.paloma.testeapiemprestimo.service.tools,AddMonth,0,15,0,0,0,5,0,2,0,2
teste-api-emprestimo,com.paloma.testeapiemprestimo,TesteApiEmprestimoApplication,5,3,0,0,2,1,1,1,1,1
teste-api-emprestimo,com.paloma.testeapiemprestimo.service.validator,ValidationInstallments,1,13,1,1,1,3,1,2,0,2
teste-api-emprestimo,com.paloma.testeapiemprestimo.service.validator,ValidationMaximumMonths,0,27,0,2,0,6,0,3,0,2
teste-api-emprestimo,com.paloma.testeapiemprestimo.service.validator,ValidationFirstInstallment,0,18,0,2,0,4,0,3,0,2
teste-api-emprestimo,com.paloma.testeapiemprestimo.service,LoanService,94,13,0,0,22,3,5,2,5,2
teste-api-emprestimo,com.paloma.testeapiemprestimo.model,InstallmentDTO,167,0,30,0,10,0,27,0,12,0
teste-api-emprestimo,com.paloma.testeapiemprestimo.model,Loan,234,23,46,0,4,8,36,3,13,3
